ConceptEn	ConceptIt	POS	Class	LetterCount	SyllableCount	FreqItWaC	LogFreqItWaC	FreqRepubblica	LogFreqRepubblica	FreqWikipedia	LogFreqWikipedia	MeanFamiliarityBlind	SDFamiliarityBlind	MeanFamiliaritySighted	SDFamiliaritySighted	FeaturesCountBlind	FeaturesCountSighted	DistinguishingFeaturesCountBlind	DistinguishingFeaturesPercentBlind	DistinguishingFeaturesCountSighted	DistinguishingFeaturesPercentSighted	AverageDistinctivenessAcrossFeatsBlind	AverageDistinctivenessAcrossFeatsSighted	MeanCueValidityBlind	MeanCueValiditySighted	IntercorrelatedFeatsCountBlind	IntercorrelatedFeatsPercentBlind	IntercorrelationalDensityBlind	IntercorrelatedFeatsCountSighted	IntercorrelatedFeatsPercentSighted	IntercorrelationalDensitySighted	FeatureEn	DistinguishingBlind	DistinguishingSighted	DistinctivenessBlind	DistinctivenessSighted	FeatureIt	FeatureTypeCoarse	FeatureTypeGranular	ConceptFeatureCountBlind	ConceptFeatureRankBlind	ConceptFeatureCountSighted	ConceptFeatureRankSighted	NegatedConceptFeatureBlind	NegatedConceptFeatureSighted
to_stroke	accarezzare	v	tac_event	11	5	12492	9.4328	2242	7.7151	254	5.5373	2.8636	0.3432	2.6923	0.4615	40	33	17	42.5000	11	33.3333	0.3943	0.3676	0.0036	0.0005	58	7.4359	10.03452	59	11.1742	10.17927	act	NA	D	NA	1.000	atto	isa	isa	0	NA	2	33	NA	POS
to_stroke	accarezzare	v	tac_event	11	5	12492	9.4328	2242	7.7151	254	5.5373	2.8636	0.3432	2.6923	0.4615	40	33	17	42.5000	11	33.3333	0.3943	0.3676	0.0036	0.0005	58	7.4359	10.03452	59	11.1742	10.17927	action	ND	ND	0.043	0.040	azione	isa	isa	12	3	15	4	POS	POS
to_stroke	accarezzare	v	tac_event	11	5	12492	9.4328	2242	7.7151	254	5.5373	2.8636	0.3432	2.6923	0.4615	40	33	17	42.5000	11	33.3333	0.3943	0.3676	0.0036	0.0005	58	7.4359	10.03452	59	11.1742	10.17927	affection	D	ND	0.500	0.333	affetto	eab:eva	eab:eva	5	8	4	11	POS	POS
to_stroke	accarezzare	v	tac_event	11	5	12492	9.4328	2242	7.7151	254	5.5373	2.8636	0.3432	2.6923	0.4615	40	33	17	42.5000	11	33.3333	0.3943	0.3676	0.0036	0.0005	58	7.4359	10.03452	59	11.1742	10.17927	affectionate	ND	D	0.333	1.000	affettuoso	ppe:pnp	ppe:pnp	2	40	0	NA	POS	NA
to_stroke	accarezzare	v	tac_event	11	5	12492	9.4328	2242	7.7151	254	5.5373	2.8636	0.3432	2.6923	0.4615	40	33	17	42.5000	11	33.3333	0.3943	0.3676	0.0036	0.0005	58	7.4359	10.03452	59	11.1742	10.17927	animal	ND	ND	0.077	0.043	animale	eco:spa:isa	eco:spa:isa	13	2	17	2	POS	POS
to_stroke	accarezzare	v	tac_event	11	5	12492	9.4328	2242	7.7151	254	5.5373	2.8636	0.3432	2.6923	0.4615	40	33	17	42.5000	11	33.3333	0.3943	0.3676	0.0036	0.0005	58	7.4359	10.03452	59	11.1742	10.17927	back	NA	D	NA	0.500	schiena:indietro:dorso	spa:man	spa:man	0	NA	3	17	NA	POS
to_stroke	accarezzare	v	tac_event	11	5	12492	9.4328	2242	7.7151	254	5.5373	2.8636	0.3432	2.6923	0.4615	40	33	17	42.5000	11	33.3333	0.3943	0.3676	0.0036	0.0005	58	7.4359	10.03452	59	11.1742	10.17927	body	ND	ND	0.333	0.143	corpo	spa:eco	spa:eco	4	11	0	NA	POS	NA
to_stroke	accarezzare	v	tac_event	11	5	12492	9.4328	2242	7.7151	254	5.5373	2.8636	0.3432	2.6923	0.4615	40	33	17	42.5000	11	33.3333	0.3943	0.3676	0.0036	0.0005	58	7.4359	10.03452	59	11.1742	10.17927	cheek	NA	D	NA	1.000	guancia	spa	spa	0	NA	2	33	NA	POS
to_stroke	accarezzare	v	tac_event	11	5	12492	9.4328	2242	7.7151	254	5.5373	2.8636	0.3432	2.6923	0.4615	40	33	17	42.5000	11	33.3333	0.3943	0.3676	0.0036	0.0005	58	7.4359	10.03452	59	11.1742	10.17927	child	ND	ND	0.100	0.143	bambino	eco:spa	eco:spa	6	7	4	11	POS	POS
to_stroke	accarezzare	v	tac_event	11	5	12492	9.4328	2242	7.7151	254	5.5373	2.8636	0.3432	2.6923	0.4615	40	33	17	42.5000	11	33.3333	0.3943	0.3676	0.0036	0.0005	58	7.4359	10.03452	59	11.1742	10.17927	contact	D	NA	0.500	NA	contatto	eco:eab	eco:eab	2	40	0	NA	POS	NA
