ConceptEn	ConceptIt	POS	Class	LetterCount	SyllableCount	FreqItWaC	LogFreqItWaC	FreqRepubblica	LogFreqRepubblica	FreqWikipedia	LogFreqWikipedia	MeanFamiliarityBlind	SDFamiliarityBlind	MeanFamiliaritySighted	SDFamiliaritySighted	FeaturesCountBlind	FeaturesCountSighted	DistinguishingFeaturesCountBlind	DistinguishingFeaturesPercentBlind	DistinguishingFeaturesCountSighted	DistinguishingFeaturesPercentSighted	AverageDistinctivenessAcrossFeatsBlind	AverageDistinctivenessAcrossFeatsSighted	MeanCueValidityBlind	MeanCueValiditySighted	IntercorrelatedFeatsCountBlind	IntercorrelatedFeatsPercentBlind	IntercorrelationalDensityBlind	IntercorrelatedFeatsCountSighted	IntercorrelatedFeatsPercentSighted	IntercorrelationalDensitySighted
to_stroke	accarezzare	v	tac_event	11	5	12492	9.4328	2242	7.7151	254	5.5373	2.8636	0.3432	2.6923	0.4615	40	33	17	42.5000	11	33.3333	0.3943	0.3676	0.0036	0.0005	58	7.4359	10.03452	59	11.1742	10.17927
airplane	aeroplano	n	vehicle	9	5	3338	8.1131	741	6.6080	1433	7.2675	2.0455	0.7056	2.2308	0.6966	35	66	7	20.0000	26	39.3939	0.3125	0.4105	0.0117	0.0027	102	17.1429	29.72447	265	12.3543	73.0134
to_grab	afferrare	v	tac_event	9	4	19042	9.8544	3332	8.1113	1215	7.1025	2.5000	0.6571	2.8462	0.4551	18	18	9	50.0000	6	33.3333	0.4761	0.3789	0.0053	0.0054	12	7.8431	2.78097	22	14.3791	4.15009
cheerfulness	allegria	n	emotion	8	4	11807	9.3764	3861	8.2587	309	5.7333	2.8636	0.3432	2.5000	0.6355	33	35	13	39.3939	14	40.0000	0.4140	0.4354	0.0303	0.0143	65	12.3106	12.56293	84	14.1176	13.99174
friendship	amicizia	n	ideal	8	4	60224	11.0058	14368	9.5728	7794	8.9611	2.8636	0.3432	2.8462	0.3608	33	37	18	54.5455	18	48.6486	0.4987	0.5322	0.0202	0.0270	26	4.9242	5.56733	55	8.2583	10.80464
pineapple	ananas	n	fruit	6	3	2777	7.9291	303	5.7137	155	5.0434	2.5000	0.5839	2.2692	0.7625	38	52	12	31.5789	22	42.3077	0.3801	0.4618	0.0075	0.0026	170	24.1821	44.46153	240	18.0995	70.32804
apartment	appartamento	n	art_loc	12	5	53679	10.8908	14895	9.6088	4083	8.3146	2.9545	0.2083	2.7308	0.5921	41	40	22	53.6585	21	52.5000	0.5563	0.5615	0.0081	0.0250	54	6.5854	8.71914	55	7.0513	8.08357
to_listen	ascoltare	v	aud_event	9	4	177864	12.0888	39010	10.5716	5566	8.6244	3.0000	0.0000	2.8846	0.3195	26	30	6	23.0769	11	36.6667	0.3092	0.3948	0.0037	0.0067	78	24.0000	16.11746	87	20.0000	21.66979
car	automobile	n	vehicle	10	5	33169	10.4094	15243	9.6319	4619	8.4379	2.5909	0.5768	2.9231	0.2665	54	56	19	35.1852	21	37.5000	0.4095	0.4050	0.0072	0.0079	194	13.5570	68.75944	209	13.5714	58.71469
to_spot	avvistare	v	vis_event	9	4	5815	8.6682	1335	7.1967	1295	7.1663	1.3636	0.6428	2.0000	0.7845	26	30	8	30.7692	8	26.6667	0.3788	0.3535	0.0070	0.0333	56	17.2308	12.79574	91	20.9195	19.98225
banana	banana	n	fruit	6	3	10565	9.2653	1783	7.4861	541	6.2934	2.6818	0.4658	2.4615	0.6923	34	44	12	35.2941	16	36.3636	0.3924	0.4075	0.0039	0.0042	137	24.4207	38.75696	188	19.8732	53.3419
bar	bar	n	art_loc	3	1	70315	11.1607	13729	9.5273	3538	8.1713	2.8182	0.3857	2.3846	0.7882	46	50	26	56.5217	31	62.0000	0.5378	0.5581	0.0021	0.0009	64	6.1836	14.32963	51	4.1633	12.27419
