word_id,word,translation into English,SER_m,SER_sd
word0001,ABAD,ABBOT,1.611,1.271
word0002,ABANDONADO,ABANDONED,4.730,1.758
word0003,ABANDONAR,ABANDON,3.972,2.104
word0004,ABANDONO,ABANDONMENT,4.053,1.931
word0005,ABANICARSE,FAN,4.257,1.804
word0006,ABARCAR,ENCOMPASS,2.529,1.376
word0007,ABASTECER,SUPPLY,3.206,1.805
word0008,ABEJA,BEE,4.778,1.869
word0009,ABEJAS,BEES,4.618,1.809
word0010,ABERRACIÓN,ABERRATION,3.541,2.008
word0011,ABERTURA,OPENING,3.154,1.857
word0012,ABIERTA,OPEN,3.382,1.724
word0013,ABIERTO,OPEN,4.086,1.976
word0014,ABISMO,ABYSS,4.306,1.704
word0015,ABORTO,ABORTION,4.676,2.011
word0016,ABRASADOR,BURNING,4.514,2.036
word0017,ABRASAR,SEAR,4.919,1.862
word0018,ABRAZAR,EMBRACE,6.088,0.996
word0019,ABRAZO,HUG,6.091,1.234
word0020,ABRIGAR,SHELTER,4.378,1.689
word0021,ABRIGARSE,WRAP,4.722,1.750
word0022,ABRIGO,COAT,4.588,1.480
word0023,ABRIL,APRIL,3.265,1.896
word0024,ABRIR,OPEN,3.294,1.818
word0025,ABROCHAR,ZIP,2.811,1.450
word0026,ABROCHARSE,FASTEN,3.343,1.474
word0027,ABRUMADO,OVERWHELMED,3.641,1.799
word0028,ABSOLUTA,ABSOLUTE,3.543,1.821
word0029,ABSOLUTO,ABSOLUTE,3.081,2.060
word0030,ABSORBER,ABSORB,3.541,1.880
word0031,ABSTENER,ABSTAIN,2.914,1.502
word0032,ABSTRACTO,ABSTRACT,3.474,1.955
word0033,ABSTRAER,ABSTRACT,3.235,1.707
word0034,ABSURDO,ABSURD,3.588,1.500
word0035,ABUELO,GRANDFATHER,4.895,1.997
word0036,ABUNDANCIA,ABUNDANCE,3.857,1.785
word0037,ABUNDANTE,ABUNDANT,3.943,1.697
word0038,ABURRIDA,BORING,4.162,2.075
word0039,ABURRIDO,BORED,4.167,1.935
word0040,ABURRIR,BORE,4.200,1.922
word0041,ABURRIRSE,BORE,4.441,2.048
word0042,ABUSAR,ABUSE,4.278,1.966
word0043,ABUSO,ABUSE,4.658,1.893
word0044,ACABAR,FINISH,3.500,1.911
word0045,ACABARSE,END,3.545,1.922
word0046,ACADEMIA,ACADEMY,2.735,1.504
word0047,ACADÉMICO,ACADEMIC,3.206,1.805
word0048,ACAMPADA,CAMPING,4.294,1.661
word0049,ACAMPAR,CAMP,4.486,1.884
word0050,ACAPARAR,HOARD,2.882,1.472
word0051,ACARICIAR,STROKE,5.882,1.409
word0052,ACARREAR,CARRY,2.395,1.653
word0053,ACCEDER,ACCESS,2.649,1.531
word0054,ACCESO,ACCESS,2.694,1.954
word0055,ACCIDENTE,ACCIDENT,5.265,1.377
word0056,ACCIÓN,ACTION,3.974,2.096
word0057,ACEITE,OIL,4.105,1.657
word0058,ACELERAR,ACCELERATE,4.618,1.436
word0059,ACELGAS,CHARD,4.086,2.049
word0060,ACENTO,ACCENT,3.588,2.061
word0061,ACENTUAR,ACCENTUATE,2.250,1.592
word0062,ACEPCIÓN,MEANING,2.286,1.363
word0063,ACEQUIA,STREAM,2.500,1.638
word0064,ACERA,SIDEWALK,2.368,1.422
word0065,ACERCARSE,APPROACH,3.526,1.672
word0066,ACERO,STEEL,3.441,1.941
word0067,ACERTAR,HIT,4.057,1.781
word0068,ÁCIDO,ACID,5.286,1.708
word0069,ACLAMAR,ACCLAIM,3.528,1.844
word0070,ACOBARDAR,INTIMIDATE,3.278,1.876
word0071,ACOGEDOR,COZY,5.000,1.732
word0072,ACOGER,WELCOME,3.543,2.005
word0073,ACOMODAR,ACCOMMODATE,3.912,1.485
word0074,ACOMPAÑADA,ACCOMPANIED,4.400,1.882
word0075,ACOMPAÑADO,ACCOMPANIED,4.543,1.521
word0076,ACOMPAÑAR,ACCOMPANY,3.412,1.598
word0077,ACONTECIMIENTO,EVENT,3.914,1.687
word0078,ACOPLARSE,COUPLE,3.692,1.866
word0079,ACORDAR,AGREE,3.412,1.861
word0080,ACORDARSE,REMEMBER,3.324,1.683
word0081,ACORDEÓN,ACCORDION,3.378,2.019
word0082,ACOSTAR,LAY,4.914,1.269
word0083,ACOSTARSE,LAY,5.273,1.567
word0084,ACOSTUMBRAR,ACCUSTOM,3.286,1.655
word0085,ACOSTUMBRARSE,FAMILIARIZE,3.206,1.754
word0086,ACOTAR,DELIMIT,1.943,1.187
word0087,ACRE,ACRE,2.543,1.578
word0088,ACREDITAR,ACCREDIT,2.412,1.305
word0089,ACTIVAR,ACTIVATE,3.059,1.613
word0090,ACTIVIDAD,ACTIVITY,3.472,1.978
word0091,ACTIVO,ACTIVE,4.132,1.920
word0092,ACTO,ACT,3.829,1.524
word0093,ACTOR,ACTOR,4.171,1.505
word0094,ACTRIZ,ACTRESS,3.278,1.750
word0095,ACTUAL,CURRENT,3.571,1.975
word0096,ACTUALIDAD,PRESENT,3.588,1.743
