Item#,Noun,KnownProportion,Auditory_mean,Gustatory_mean,Haptic_mean,Olfactory_mean,Visual_mean,Auditory_sd,Gustatory_sd,Haptic_sd,Olfactory_sd,Visual_sd,DominantModality,Exclusivity,
1,academy,1,1.411764706,0.058823529,0.470588235,0.117647059,2.705882353,1.325651893,0.242535625,1.067570083,0.332105582,1.571810496,Visual,0.555555556,
2,account,1,1.705882353,0.117647059,0.352941176,0.235294118,1.411764706,1.649420576,0.332105582,0.70188821,0.562295715,1.502448981,Auditory,0.415384615,
3,addition,1,1.294117647,0.470588235,0.882352941,0.647058824,3.058823529,1.263165957,0.874474632,1.053704948,0.996316746,1.390619836,Visual,0.407407407,
4,administration,0.941176471,1.75,0.0625,0.5,0.25,2.625,1.653279569,0.25,0.730296743,0.577350269,1.360147051,Visual,0.493975904,
5,advantage,1,1.705882353,0.352941176,0.529411765,0.470588235,3.117647059,1.447614671,0.606339063,0.874474632,0.874474632,1.218726433,Visual,0.447619048,
6,aim,1,1.411764706,0.235294118,1.117647059,0.470588235,2.647058824,1.325651893,0.562295715,1.536324874,0.799816155,1.617914416,Visual,0.41,
7,air,1,1.058823529,1.470588235,2.117647059,2.529411765,1.352941176,1.144038255,1.23073388,1.317305628,1.419403354,1.578811914,Olfactory,0.172413793,
8,amount,1,2,1.647058824,3.117647059,1.352941176,4.058823529,1.620185175,1.765686002,1.409004655,1.693412844,0.899346168,Visual,0.222222222,
9,appeal,1,2.294117647,1.411764706,1.235294118,1.294117647,3.294117647,1.531531337,1.905873275,1.601928984,1.759428383,1.358524286,Visual,0.216049383,
10,arrangement,1,1.823529412,0.294117647,1.470588235,0.470588235,3.411764706,1.550616576,0.685994341,1.73629084,0.799816155,1.460257834,Visual,0.417322835,
11,baby,1,4.235294118,0.823529412,3.647058824,3.117647059,4.882352941,1.200490096,1.50977209,1.221739358,1.409004655,0.332105582,Visual,0.242957746,
12,back,1,0.647058824,0.294117647,2.941176471,0.529411765,3.941176471,1.05718828,0.685994341,1.390619836,0.717430054,0.899346168,Visual,0.436619718,
13,balance,1,1.235294118,0.411764706,1.764705882,0.294117647,2.941176471,1.347655917,0.870260272,1.601928984,0.587867532,1.638237934,Visual,0.398230088,
14,bank,1,1.294117647,0.058823529,1.235294118,0.294117647,4.411764706,1.358524286,0.242535625,1.521898969,0.587867532,0.71228712,Visual,0.596774194,
15,bear,1,3.117647059,0.470588235,2.470588235,1.882352941,4.470588235,1.363925994,0.943242218,1.23073388,1.218726433,0.799816155,Visual,0.322274882,
16,beauty,1,1.941176471,0.941176471,2.352941176,1.764705882,4.941176471,1.853057886,1.197423705,1.693412844,1.480262298,0.242535625,Visual,0.334975369,
17,beginning,0.941176471,2,0.625,1.375,0.875,3,1.673320053,1.258305739,1.204159458,1.310216267,1.414213562,Visual,0.301587302,
