WORD,Transliteration,English_Translation,Category,Abstractness,Length,Gender,Fr_obj_Lg,Vis_Mean,Vis_SD,Aud_Mean,Aud_SD,Olf_Mean,Olf_SD,Gus_Mean,Gus_SD,Hap_Mean,Hap_SD,Img_Mean,Img_SD,Man_Mean,Man_SD,Space17_Mean,Space17_SD,AoA_Mean,AoA_SD,Fr_Mean,Fr_SD
_______,abrikos,apricot,Food,concrete,7,m,0.6,4.03,2.3,1.63,1.61,5,2.14,5.82,1.61,4.97,1.76,5.93,1.49,6,1.5,3.92,1.59,4.13,1.66,3.96,1.69
_______,avtobus,bus,Transport,concrete,7,m,1.8,4.53,2.18,4.77,1.72,2.97,1.95,1.61,1.31,5.14,1.87,6.67,0.62,5.66,1.68,3.22,1.64,4.03,1.75,6.75,0.52
__________,avtomobil,car,Transport,concrete,10,m,2.2,6.45,0.99,5,1.59,4.1,1.88,1.74,1.38,4.46,2.16,6.86,0.52,6.7,0.53,2.88,1.14,3.63,1.81,6.08,1.44
____,aist,stork,Animal,concrete,4,m,0.6,3.9,2.18,1.79,0.94,2.21,1.63,2.21,1.9,2.66,1.88,6.55,0.99,1.9,1.54,5.24,1.75,4.33,1.71,2.14,1.27
_____,akula,shark,Animal,concrete,5,f,1,4.91,2.25,2.29,1.78,2.24,2.13,2.27,1.7,3.11,2.5,6.86,0.36,2.16,2,1.71,1.27,4.8,2.23,3.2,1.79
______,aktsent,accent,Sound,concrete,6,m,1.4,1.91,1.55,4.64,1.99,1.38,0.94,1,0,1.68,1.42,3.82,2.2,1.8,1.63,3.64,1.62,9.4,2.81,4.2,1.58
______,ananas,pineapple,Food,concrete,6,m,0.7,4.48,2.21,1.55,1.18,5.41,1.57,6.15,1.56,4.07,2.23,6.83,0.54,4.27,2.18,2.91,1.49,5.2,1.99,2.9,1.57
_______,antenna,antenna,Object,concrete,7,f,1,4.57,2.33,1.96,1.82,1.58,1.5,1,0,3.19,2.25,6.66,0.9,5.43,2.02,5.16,1.78,5.69,2.68,3.27,1.95
________,apelsin,orange,Food,concrete,8,m,0.9,4.8,2.06,1.86,1.94,6.15,1.19,6.54,0.84,4.7,1.9,6.9,0.41,5.68,1.9,3.72,1.37,3.38,1.58,5.69,1.61
_____,arbuz,water-melon,Food,concrete,5,m,1,4.41,2.04,2.07,1.71,5.14,1.79,6.03,1.7,5.1,1.97,6.93,0.38,5.21,1.88,1.78,0.91,3.11,1.55,3.89,1.37
_______,asfalt,asphalt ,Ground,concrete,7,m,1.5,4.14,2.12,1.79,1.26,4,1.98,1.91,1.55,3.97,1.92,6.66,0.9,3.86,2.36,2.15,1.56,4.57,1.68,4.41,1.92
_____,ataka,attack,Action,abstract,5,f,1.6,3.6,2.14,3.71,2.23,1.81,1.5,1.54,1.26,3.11,2.41,5,1.6,5.14,2.08,4.22,1.86,5.62,2.33,3.73,1.84
________,aerostat,balloon,Transport,concrete,8,m,0.5,3.53,2.2,3.43,2.33,1.52,1.27,1.23,0.75,2.32,2.09,4.04,2.2,3.8,2.38,4.32,2.16,11.25,3.13,1.6,1.22
_______,babochka,butterfly,Animal,concrete,7,f,1.3,5.87,1.5,1.7,1.23,1.27,0.78,1.44,1.05,4.08,1.94,6.83,0.76,2.73,2.07,4.79,1.49,3.23,1.43,3.65,1.98
________,baklazhan,aubergine,Food,concrete,8,m,0.7,4.66,2.39,1.64,1.39,3.55,2.01,5.27,1.86,4.14,2.41,6.86,0.36,4.84,2.15,1.97,1.17,5.83,2.77,3.27,1.91
