"targetWord","sense","score.std","score","maxPercepStrength.std","maxPercepStrength","domSense","sumPercepStrength.std","sumPercepStrength","entropy","modalityExclusivity","length","CDcount","zipf","fpmw","LogFmpw","ortographNeigh","ortographLevenshtein","FAM.std","FAM","AoA.std","AoA","CA.std","CA"
"abbagliante","gusto",-0.846,0.1,1.462,4.925,"vista",-1.854,5.45,0.44,0.894,11,49,2.689,0.483,-0.316,1,2.3,0.348,6,-0.098,4.167,0.464,6
"abbagliante","olfatto",-0.869,0.05,1.462,4.925,"vista",-1.854,5.45,0.44,0.894,11,49,2.689,0.483,-0.316,1,2.3,0.348,6,-0.098,4.167,0.464,6
"abbagliante","tatto",-0.795,0.2,1.462,4.925,"vista",-1.854,5.45,0.44,0.894,11,49,2.689,0.483,-0.316,1,2.3,0.348,6,-0.098,4.167,0.464,6
"abbagliante","udito",-0.808,0.175,1.462,4.925,"vista",-1.854,5.45,0.44,0.894,11,49,2.689,0.483,-0.316,1,2.3,0.348,6,-0.098,4.167,0.464,6
"abbagliante","vista",1.462,4.925,1.462,4.925,"vista",-1.854,5.45,0.44,0.894,11,49,2.689,0.483,-0.316,1,2.3,0.348,6,-0.098,4.167,0.464,6
"abbrustolito","gusto",1.209,4.471,1.209,4.471,"gusto",2.707,15.337,1.416,0.257,12,15,2.12,0.125,-0.904,3,2.75,0.048,5.105,-0.072,4.118,0.298,5.722
"abbrustolito","olfatto",1.194,4.455,1.209,4.471,"gusto",2.707,15.337,1.416,0.257,12,15,2.12,0.125,-0.904,3,2.75,0.048,5.105,-0.072,4.118,0.298,5.722
"abbrustolito","tatto",-0.232,1.441,1.209,4.471,"gusto",2.707,15.337,1.416,0.257,12,15,2.12,0.125,-0.904,3,2.75,0.048,5.105,-0.072,4.118,0.298,5.722
"abbrustolito","udito",-0.645,0.529,1.209,4.471,"gusto",2.707,15.337,1.416,0.257,12,15,2.12,0.125,-0.904,3,2.75,0.048,5.105,-0.072,4.118,0.298,5.722
"abbrustolito","vista",1.182,4.441,1.209,4.471,"gusto",2.707,15.337,1.416,0.257,12,15,2.12,0.125,-0.904,3,2.75,0.048,5.105,-0.072,4.118,0.298,5.722
"abrasivo","gusto",-0.692,0.425,1.147,4.308,"tatto",0.334,10.15,1.276,0.383,8,3,1.492,0.023,-1.631,3,2.4,-0.542,3.944,1.182,6.45,-0.789,3.579
"abrasivo","olfatto",-0.568,0.692,1.147,4.308,"tatto",0.334,10.15,1.276,0.383,8,3,1.492,0.023,-1.631,3,2.4,-0.542,3.944,1.182,6.45,-0.789,3.579
"abrasivo","tatto",1.147,4.308,1.147,4.308,"tatto",0.334,10.15,1.276,0.383,8,3,1.492,0.023,-1.631,3,2.4,-0.542,3.944,1.182,6.45,-0.789,3.579
"abrasivo","udito",-0.418,1,1.147,4.308,"tatto",0.334,10.15,1.276,0.383,8,3,1.492,0.023,-1.631,3,2.4,-0.542,3.944,1.182,6.45,-0.789,3.579
"abrasivo","vista",0.864,3.725,1.147,4.308,"tatto",0.334,10.15,1.276,0.383,8,3,1.492,0.023,-1.631,3,2.4,-0.542,3.944,1.182,6.45,-0.789,3.579
"accecante","gusto",-0.829,0,1.553,4.974,"vista",-1.55,5.39,0.338,0.923,9,85,2.886,0.764,-0.117,2,2,0.088,4.944,-0.135,4.4,0.486,5.842
"accecante","olfatto",-0.816,0.026,1.553,4.974,"vista",-1.55,5.39,0.338,0.923,9,85,2.886,0.764,-0.117,2,2,0.088,4.944,-0.135,4.4,0.486,5.842
"accecante","tatto",-0.703,0.237,1.553,4.974,"vista",-1.55,5.39,0.338,0.923,9,85,2.886,0.764,-0.117,2,2,0.088,4.944,-0.135,4.4,0.486,5.842
"accecante","udito",-0.756,0.154,1.553,4.974,"vista",-1.55,5.39,0.338,0.923,9,85,2.886,0.764,-0.117,2,2,0.088,4.944,-0.135,4.4,0.486,5.842
"accecante","vista",1.553,4.974,1.553,4.974,"vista",-1.55,5.39,0.338,0.923,9,85,2.886,0.764,-0.117,2,2,0.088,4.944,-0.135,4.4,0.486,5.842
"acerbo","gusto",1.399,4.879,1.399,4.879,"gusto",1.021,11.761,1.338,0.397,6,15,2.169,0.14,-0.853,3,1.8,0.143,5.211,0.192,4.471,0.463,6.053
"acerbo","olfatto",0.217,2.353,1.399,4.879,"gusto",1.021,11.761,1.338,0.397,6,15,2.169,0.14,-0.853,3,1.8,0.143,5.211,0.192,4.471,0.463,6.053
"acerbo","tatto",-0.371,1.147,1.399,4.879,"gusto",1.021,11.761,1.338,0.397,6,15,2.169,0.14,-0.853,3,1.8,0.143,5.211,0.192,4.471,0.463,6.053
"acerbo","udito",-0.806,0.206,1.399,4.879,"gusto",1.021,11.761,1.338,0.397,6,15,2.169,0.14,-0.853,3,1.8,0.143,5.211,0.192,4.471,0.463,6.053
